latitude,longitude,sample_time,x_ec,y_ec,r_ec
49.2704536998704,-15.2380501998695,12-May-2021 06:57:30,-31.7858881021998,20.4390880804388,37.7901971945834
49.2688343000433,-15.2362435000597,12-May-2021 06:58:30,-31.655729416501,20.2594819422118,37.5836641834924
49.2671266999582,-15.2344232999531,12-May-2021 06:59:30,-31.5245876044852,20.0700855753297,37.3712183188335
49.2655133001475,-15.2326850000983,12-May-2021 07:00:30,-31.3994099780813,19.8911454389222,37.1696195009309
49.2638850000358,-15.2308533000358,12-May-2021 07:01:30,-31.2674307099295,19.7105513690788,36.9615754327834
49.2623026999519,-15.2292209999437,12-May-2021 07:02:30,-31.1499722565352,19.5350633023245,36.768729510397
49.2606835001202,-15.2275217001202,12-May-2021 07:03:30,-31.0276347119419,19.3554793635812,36.5697784681794
49.2590655000176,-15.2257947000203,12-May-2021 07:04:30,-30.9032799622889,19.1760285947458,36.3693935211204
49.2573616999224,-15.2239049999224,12-May-2021 07:05:30,-30.7670769835337,18.9870540267399,36.1541318070982
49.255701700113,-15.2221733000715,12-May-2021 07:06:30,-30.6423799862528,18.802941290477,35.9514401991775
49.254005,-15.2204433,12-May-2021 07:07:30,-30.5178067710073,18.6147548204889,35.7469666844539
49.2523332998927,-15.2186149999045,12-May-2021 07:08:30,-30.386075097134,18.429343351135,35.5380677044025
49.2506592000785,-15.216924800077,12-May-2021 07:09:30,-30.2644002374727,18.2436655143333,35.33787278732
49.2489857999812,-15.2150987999789,12-May-2021 07:10:30,-30.1328360552776,18.0580653460893,35.1294966200466
49.2472099998726,-15.213234999901,12-May-2021 07:11:30,-29.9985191820863,17.8610987765949,34.913178065385
49.2455433000597,-15.2116367000633,12-May-2021 07:12:30,-29.8835367142252,17.6762423399431,34.7199554983995
49.2439482999643,-15.2099099999575,12-May-2021 07:13:30,-29.7592038109084,17.4993445719144,34.5229962764789
49.2423549998279,-15.2081949998854,12-May-2021 07:14:30,-29.6357229339072,17.3226354993267,34.3270997093819
49.2408057000424,-15.2065808000441,12-May-2021 07:15:30,-29.5195825872102,17.1508104657171,34.1402410031633
49.2391662999385,-15.2049669999457,12-May-2021 07:16:30,-29.4034713505728,16.9689842967348,33.948645857041
49.2375402000984,-15.2032998001207,12-May-2021 07:17:30,-29.2834714097965,16.7886344570637,33.7547025574404
49.2358850000239,-15.2015800000253,12-May-2021 07:18:30,-29.1596409828454,16.6050544913537,33.5561096807908
49.2343516999284,-15.1999049999418,12-May-2021 07:19:30,-29.0390730070991,16.435005423308,33.3673068193373
49.2327833001015,-15.198321700095,12-May-2021 07:20:30,-28.9251828768655,16.2610602851007,33.1826503772045
49.2312445000055,-15.1967918000056,12-May-2021 07:21:30,-28.8151814530168,16.0904007170037,33.0032676776715
49.2296617999162,-15.1951584999212,12-May-2021 07:22:30,-28.6976501776349,15.9148682496486,32.815212282135
49.2280982000832,-15.1935218000779,12-May-2021 07:23:30,-28.579871323368,15.7414559107716,32.6282466438367
49.2264249999881,-15.1918716999933,12-May-2021 07:24:30,-28.4611166290913,15.5558779427629,32.4348654744377
49.2247882999063,-15.1903866998523,12-May-2021 07:25:30,-28.3543849340834,15.3743514762385,32.2543303806651
49.2231483000656,-15.1888567000819,12-May-2021 07:26:30,-28.2443762514414,15.1924587365108,32.0711021371821
49.2215267000314,-15.1872467000825,12-May-2021 07:27:30,-28.1285417477147,15.0126083752666,31.8840598274758
49.2199887998681,-15.1857267998568,12-May-2021 07:28:30,-28.0192685394673,14.8420486996955,31.7075041447748
49.2184157000467,-15.1841853000379,12-May-2021 07:29:30,-27.9084223939458,14.6675818620972,31.5280509736999
49.2168266999582,-15.1824716999403,12-May-2021 07:30:30,-27.7850434666557,14.4913500948279,31.3370047709543
49.2152133001408,-15.1809067001173,12-May-2021 07:31:30,-27.6724859908658,14.3124099576837,31.1546394572537
49.2136483000262,-15.1792767000335,12-May-2021 07:32:30,-27.555195029947,14.1388421875131,30.9708836093163
49.2120349999427,-15.1776599999221,12-May-2021 07:33:30,-27.4388726069592,13.959913120807,30.785888070371
49.2104690001086,-15.1761145000772,12-May-2021 07:34:30,-27.327735169344,13.7862343818046,30.6082565317898
49.2088508000089,-15.1745200000114,12-May-2021 07:35:30,-27.2130294103375,13.6067614132938,30.4252021496357
49.2071566500221,-15.1728392000332,12-May-2021 07:36:30,-27.0920390714611,13.4188580073144,30.2331660808133
49.2055233001006,-15.1712683000895,12-May-2021 07:37:30,-26.9790519338161,13.2377034086037,30.0517226591372
49.203829999994,-15.169676699994,12-May-2021 07:38:30,-26.8645573580527,13.0498943393338,29.8664390966161
49.2021516998986,-15.1679816998795,12-May-2021 07:39:30,-26.7425329290064,12.8637502712892,29.6755646702988
49.2005043000668,-15.1665280000617,12-May-2021 07:40:30,-26.6380806036481,12.6810361325441,29.5024747375765
49.1988339999742,-15.1649372999763,12-May-2021 07:41:30,-26.5236515689173,12.4957800648286,29.3197648690759
49.1971829998874,-15.163392299886,12-May-2021 07:42:30,-26.4125505244651,12.3126662977391,29.1414580377664
49.1954867000636,-15.1617333000302,12-May-2021 07:43:30,-26.2931477263706,12.1245242598793,28.9539929178887
49.193849999966,-15.1600316999531,12-May-2021 07:44:30,-26.1706426712012,11.9429977916111,28.7669555927305
49.1922217001308,-15.1583650001229,12-May-2021 07:45:30,-26.0506791413265,11.7624037524798,28.5830723639131
49.1906013000409,-15.1568508000468,12-May-2021 07:46:30,-25.9418210325148,11.5826865850562,28.4101514781366
49.1889792999316,-15.155244499937,12-May-2021 07:47:30,-25.8262559641886,11.4027918154804,28.231527736114
49.1872940001096,-15.1537690000871,12-May-2021 07:48:30,-25.7202161048576,11.2158707778148,28.0593170584249
49.1856033000179,-15.1520983000112,12-May-2021 07:49:30,-25.599961266643,11.0283503101966,27.8744063150775
49.1840016999224,-15.1505016998983,12-May-2021 07:50:30,-25.4851025768504,10.850719942153,27.6988912524603
49.1823867000833,-15.1488483000658,12-May-2021 07:51:30,-25.3661075867479,10.6716022025957,27.5194932306704
49.1808447,-15.1473723,12-May-2021 07:52:30,-25.2600313001826,10.5005874359015,27.3556487363254
49.179281699892,-15.1458426998949,12-May-2021 07:53:30,-25.1500517219535,10.3272416664694,27.1878101739474
49.1777087000828,-15.1442060000808,12-May-2021 07:54:30,-25.0322728698144,10.1527859302294,27.0128441148634
49.1761082999844,-15.1423982999822,12-May-2021 07:55:30,-24.9020413402888,9.97528876186006,26.8256975453751
49.1745016998866,-15.1406516998654,12-May-2021 07:56:30,-24.7762592673802,9.79710339356388,26.6429401190752
49.1728350000597,-15.1388583000894,12-May-2021 07:57:30,-24.6470691240838,9.61224695535445,26.455118747382
49.171214299959,-15.1371952999574,12-May-2021 07:58:30,-24.5273750154292,9.43249648673238,26.2785866271327
49.1694932998879,-15.1353579998613,12-May-2021 07:59:30,-24.3949879385466,9.24161272139766,26.0868327363467
49.1677702000485,-15.1336057000451,12-May-2021 08:00:30,-24.2687907992115,9.0504958818074,25.9014610121225
49.1659266999397,-15.1318332999497,12-May-2021 08:01:30,-24.1411299060169,8.84601461228035,25.7108173277293
49.1642033001194,-15.1301900001341,12-May-2021 08:02:30,-24.0228704249224,8.65486447480737,25.5343882348861
49.1624550000239,-15.1285133000194,12-May-2021 08:03:30,-23.9021786485652,8.4609504067659,25.3555087886967
49.1608591999383,-15.1268129999174,12-May-2021 08:04:30,-23.7797682609005,8.28396383982373,25.1813708014802
49.1592355000988,-15.1250952001094,12-May-2021 08:05:30,-23.6560835002224,8.10388040021886,25.0056626409009
49.1576463000059,-15.1234158000064,12-May-2021 08:06:30,-23.5351951038224,7.92762643245869,24.8345056207608
49.1560016999105,-15.1217016999215,12-May-2021 08:07:30,-23.4117797661887,7.74522306442712,24.6596819147826
49.1544450000939,-15.1201133000679,12-May-2021 08:08:30,-23.2975182404405,7.57257662736598,24.4973115451673
49.1528799999918,-15.1184566999851,12-May-2021 08:09:30,-23.1782901997043,7.39900885859375,24.3306076510895
49.1513721998966,-15.1169066998918,12-May-2021 08:10:30,-23.0668250422727,7.23179029057873,24.1738951833942
49.1498195000644,-15.1152520000811,12-May-2021 08:11:30,-22.9477353844442,7.05958785178763,24.0090886939005
49.1483407999717,-15.1135902999658,12-May-2021 08:12:30,-22.8281359463251,6.89559938405564,23.8468673340816
49.1468299998747,-15.1119882998986,12-May-2021 08:13:30,-22.7128840180792,6.72804781583877,23.6884302525712
49.1454117000417,-15.1105617000417,12-May-2021 08:14:30,-22.610405181039,6.57076377695385,23.5458140454579
49.1440466999523,-15.1090866999612,12-May-2021 08:15:30,-22.5044017159579,6.41939600958624,23.4020670394968
49.1426963001338,-15.1077947000868,12-May-2021 08:16:30,-22.4117247931783,6.26964887231632,23.2721701864545
49.1412900000283,-15.1064697000311,12-May-2021 08:17:30,-22.3166447127287,6.11369680316079,23.1389265056774
49.139864199941,-15.1050551999422,12-May-2021 08:18:30,-22.2150470114465,5.95558023602823,22.9995054222596
49.1384150000805,-15.1034467001139,12-May-2021 08:19:30,-22.0993217542396,5.79486629409116,22.8464548095279
49.1370150000089,-15.1020000000142,12-May-2021 08:20:30,-21.9953791659868,5.6396135287067,22.7068700046638
49.1355932999374,-15.1006516998955,12-May-2021 08:21:30,-21.8986023154882,5.48195206332407,22.5743345814774
49.1342480000593,-15.0993062000704,12-May-2021 08:22:30,-21.8020293897541,5.3327710194396,22.444752889205
49.1328684999939,-15.0977761999945,12-May-2021 08:23:30,-21.6920206846316,5.1797937547332,22.3018838828485
49.1314884998917,-15.0961987998906,12-May-2021 08:24:30,-21.5785601884959,5.02676098594304,22.156321576885
49.1301333000402,-15.0943150000984,12-May-2021 08:25:30,-21.4427868853022,4.87648104500968,21.9902973329336
49.1288066999791,-15.0926182999807,12-May-2021 08:26:30,-21.3206386576794,4.72937568077887,21.838878796799
49.1275199998806,-15.0908682998958,12-May-2021 08:27:30,-21.1946089904195,4.58669921240708,21.6852313781031
49.1263033000386,-15.0892055000563,12-May-2021 08:28:30,-21.0749294678151,4.4517927725241,21.5399886481604
49.1250491999587,-15.0875032999526,12-May-2021 08:29:30,-20.9523807171757,4.31273490620815,21.3916324783477
49.1237638000944,-15.0858780001121,12-May-2021 08:30:30,-20.8354320402094,4.17020276385339,21.2486662968252
49.1223983000247,-15.0842083000358,12-May-2021 08:31:30,-20.7152500245144,4.01877949866905,21.1014732243288
49.1211316999403,-15.0824749999553,12-May-2021 08:32:30,-20.5904364941923,3.87833413186051,20.9525070256454
49.1198533000781,-15.0807750001134,12-May-2021 08:33:30,-20.468047972471,3.7365789897404,20.806321403601
49.1185183000123,-15.0791250000146,12-May-2021 08:34:30,-20.3493005594141,3.58854122499077,20.6632926074435
49.1172701999378,-15.0775794999152,12-May-2021 08:35:30,-20.2381631030232,3.45014935927649,20.5301431165466
49.1159527000805,-15.0758603000955,12-May-2021 08:36:30,-20.1143763899189,3.30405411769088,20.3839375776113
49.1146507,-15.0742525,12-May-2021 08:37:30,-19.9987020888097,3.15967935131437,20.2467690963295
49.1132999999285,-15.0723082998569,12-May-2021 08:38:30,-19.8585302776703,3.00989888593156,20.0853358471468
49.1120017000677,-15.0706583000825,12-May-2021 08:39:30,-19.7397828884741,2.86593484396624,19.9467443712992
49.1107166999843,-15.0690216999866,12-May-2021 08:40:30,-19.6220112978285,2.72344707726555,19.8101108365091
49.109454299904,-15.0674382998853,12-May-2021 08:41:30,-19.5081138665732,2.58346791090965,19.6784352294049
49.1081095000655,-15.0657585000626,12-May-2021 08:42:30,-19.3871963618018,2.43434237141339,19.5394320683156
49.1067534999721,-15.0640902999587,12-May-2021 08:43:30,-19.2671235779265,2.28397360360317,19.4020253166789
49.1053532998692,-15.0622266999017,12-May-2021 08:44:30,-19.1328212707594,2.12869863473711,19.2508755036324
49.1040100000365,-15.0605017000521,12-May-2021 08:45:30,-19.0086121846761,1.97973959588322,19.1114286764471
49.1026682999531,-15.0587882999431,12-May-2021 08:46:30,-18.8852478210664,1.83095812919021,18.9737975359162
49.101423000097,-15.0571562001399,12-May-2021 08:47:30,-18.7678039534633,1.69287708774006,18.8439989935742
49.1001660000197,-15.0554177000268,12-May-2021 08:48:30,-18.6426117434964,1.55349732171216,18.707226586197
49.0988409999576,-15.0538077999308,12-May-2021 08:49:30,-18.5267845149883,1.40656955738011,18.5801017861733
49.097515000057,-15.052040000114,12-May-2021 08:50:30,-18.3994586260547,1.2595308109921,18.442518689044
49.0962167000037,-15.0503767000078,12-May-2021 08:51:30,-18.2797426725191,1.11556674763324,18.3137511543086
49.0949699999329,-15.0487432998941,12-May-2021 08:52:30,-18.1622041127416,0.977330282334847,18.1884807698075
49.0937183000732,-15.0471017000729,12-May-2021 08:53:30,-18.0440684295822,0.838538840485192,18.0635420911417
49.0924962999863,-15.0455456999875,12-May-2021 08:54:30,-17.9321663374102,0.70304407339615,17.9459427314835
49.0911136999316,-15.043981299889,12-May-2021 08:55:30,-17.8196525348458,0.549722709878246,17.8281297819034
49.0897885000484,-15.042330300059,12-May-2021 08:56:30,-17.7008323190541,0.402772765426754,17.7054141631265
49.088298299974,-15.0406116999627,12-May-2021 08:57:30,-17.5770892790972,0.237507799716283,17.5786938502348
49.0869049999141,-15.0389482998592,12-May-2021 08:58:30,-17.4573660435019,0.0829987356284647,17.457563345637
49.0855667000417,-15.0372433000536,12-May-2021 08:59:30,-17.3346134116679,-0.065405307632517,17.3347368017586
49.0843151999576,-15.0356279999601,12-May-2021 09:00:30,-17.21839294156,-0.204174574405698,17.2196034433664
49.0831835000854,-15.033722300184,12-May-2021 09:01:30,-17.0810248256381,-0.329646017638453,17.0842054421917
49.0829971999867,-15.0315013000321,12-May-2021 09:02:30,-16.9206957313988,-0.35017808604038,16.9243188556149
49.0838233000369,-15.0297949999181,12-May-2021 09:03:30,-16.7978484075515,-0.258333737914995,16.7998347445213
49.0847616999529,-15.0284717000805,12-May-2021 09:04:30,-16.70289214156,-0.15402410465137,16.7036022856569
49.0856499999933,-15.0273333000082,12-May-2021 09:05:30,-16.6214007481549,-0.0552755576157367,16.6214926591457
49.0864198000554,-15.026213799938,12-May-2021 09:06:30,-16.5412857011359,0.0303194918326213,16.5413134882992
49.0873217999494,-15.0249885000593,12-May-2021 09:07:30,-16.4534660422734,0.130588722645065,16.4539842657858
49.0881917000034,-15.0238214999965,12-May-2021 09:08:30,-16.3698919245584,0.227294871201899,16.3714698356683
49.0891633001015,-15.0225367,12-May-2021 09:09:30,-16.2777393150244,0.335289724637853,16.2811921064564
49.0900182999777,-15.0211867000491,12-May-2021 09:10:30,-16.1808386786412,0.430341953486192,16.1865603060423
49.0908200000134,-15.0199282999852,12-May-2021 09:11:30,-16.0906085795754,0.519477900002521,16.0989919482462
49.0915698000492,-15.0187022998856,12-May-2021 09:12:30,-16.0027379286032,0.602852946528031,16.014089199411
49.0924081999638,-15.0173635000372,12-May-2021 09:13:30,-15.9066529122744,0.696062579631182,15.9218752032017
49.0932398000316,-15.0160387999643,12-May-2021 09:14:30,-15.8115946773436,0.788517429714162,15.8312439807352
49.0942533,-15.0147533001721,12-May-2021 09:15:30,-15.7193911071354,0.901163168786198,15.745200914433
49.0951299999843,-15.0133683000291,12-May-2021 09:16:30,-15.6199416671995,0.998624109600485,15.6518314519097
49.0959967000335,-15.0120016999589,12-May-2021 09:17:30,-15.5218321675246,1.09497505762079,15.5604062997601
49.096831499949,-15.0106670001176,12-May-2021 09:18:30,-15.4260457241773,1.18778509082181,15.4717070844296
49.0977274999877,-15.0092217000168,12-May-2021 09:19:30,-15.3222050874111,1.28738833767262,15.3761938551991
49.0985677000424,-15.0078954999239,12-May-2021 09:20:30,-15.2270376171953,1.38079778629977,15.2895152677295
49.0995782999167,-15.0063483000658,12-May-2021 09:21:30,-15.1157763802762,1.49312161492089,15.1893419125208
49.1004517,-15.0047783,12-May-2021 09:22:30,-15.0028547738022,1.59021626672777,15.0868962725527
49.1013933000536,-15.0032966999045,12-May-2021 09:23:30,-14.896370678783,1.69488111523801,14.9924808285519
49.1022602999759,-15.0017557000822,12-May-2021 09:24:30,-14.7855609442935,1.79126534918747,14.8936712730145
49.1032500000109,-15.0001679999793,12-May-2021 09:25:30,-14.671350375945,1.90126929563376,14.794030782321
49.1040905000777,-14.9985464998947,12-May-2021 09:26:30,-14.5546784066581,1.99471204560288,14.6907297186394
49.105009999719,-14.9970450000872,12-May-2021 09:27:30,-14.4467451640573,2.09692374837126,14.5981346425389
49.1058767000156,-14.9969067000134,12-May-2021 09:28:30,-14.4380836050141,2.19327472383999,14.6037225459679
49.1062917000162,-14.9972250000408,12-May-2021 09:29:30,-14.4626728306813,2.23948696646881,14.6350335592478
49.1064366999947,-14.9972750000078,12-May-2021 09:30:30,-14.4677237614261,2.2557292066597,14.6425183998761
49.106455499995,-14.9970770000004,12-May-2021 09:31:30,-14.4547147008468,2.2579632492486,14.6300094025204
49.1064027000094,-14.9970332999844,12-May-2021 09:32:30,-14.4529421596829,2.2522496934285,14.6273772684199
49.1064347999997,-14.9970340000003,12-May-2021 09:33:30,-14.4544029419285,2.25596003491232,14.6293923348426
49.1065166999909,-14.9971383,12-May-2021 09:34:30,-14.4634081394055,2.26519817648519,14.6397164516862
49.106525,-14.9971617000251,12-May-2021 09:35:30,-14.4665219944903,2.26626672007789,14.6429581527642
49.1064867000007,-14.9970783000008,12-May-2021 09:36:30,-14.4618583971646,2.26216266271655,14.6377159492945
49.1064096999903,-14.9969968000067,12-May-2021 09:37:30,-14.4573331648921,2.25376290411091,14.6319489292656
49.1064332999937,-14.9970281999931,12-May-2021 09:38:30,-14.4610295975788,2.25652974707593,14.6360275867972
49.1064360000015,-14.9969968000004,12-May-2021 09:39:30,-14.4601527752732,2.25697669049101,14.6352301678403
49.1064249999988,-14.9969547999956,12-May-2021 09:40:30,-14.4585040330252,2.25590293274943,14.6334355814004
49.1064899999919,-14.9970966999916,12-May-2021 09:41:30,-14.4702473584353,2.26326517456381,14.6461745129811
49.1064933000094,-14.9971332999888,12-May-2021 09:42:30,-14.4743224689417,2.26377871906097,14.6502800322651
49.106475,-14.9970850000314,12-May-2021 09:43:30,-14.4722149480738,2.26189466057564,14.6479067773792
49.1063978000007,-14.9969347999927,12-May-2021 09:44:30,-14.4626868034432,2.2534727032364,14.6371940206695
49.1064001999957,-14.9969596999964,12-May-2021 09:45:30,-14.4659098905672,2.25388634523615,14.6404423641928
49.1064202000131,-14.9969426999977,12-May-2021 09:46:30,-14.4660817128056,2.25625358975262,14.6409767564476
49.1064386999945,-14.9969233000013,12-May-2021 09:47:30,-14.4660787608614,2.25845433024081,14.6413131472976
49.1064249999919,-14.9969733000246,12-May-2021 09:48:30,-14.4711296954653,2.2570808725044,14.6460919267907
49.1064632999734,-14.9969833000471,12-May-2021 09:49:30,-14.4732677281616,2.261479413038,14.6488828197457
49.1064667000022,-14.9970283,12-May-2021 09:50:30,-14.4779545448838,2.26200405879012,14.6535944452446
49.106401299995,-14.9968534999953,12-May-2021 09:51:30,-14.4666349677144,2.25489190054103,14.6413136286407
49.1064407999963,-14.9968937000134,12-May-2021 09:52:30,-14.4709722411685,2.25942364326878,14.646297580086
49.1064062999996,-14.9968383000003,12-May-2021 09:53:30,-14.4683476761223,2.25574138618446,14.6431367431469
49.1064250000315,-14.9969732999939,12-May-2021 09:54:30,-14.4795885255062,2.25796433229163,14.6545858622437
49.1064600000089,-14.9970049999686,12-May-2021 09:55:30,-14.4833068041056,2.26199657235324,14.6588814196442
49.106463300003,-14.9970182999911,12-May-2021 09:56:30,-14.4856851509847,2.26251011426425,14.6613105250045
49.1064205000277,-14.9968743000018,12-May-2021 09:57:30,-14.4766085095468,2.25790655955894,14.6516325360139
49.1064057999928,-14.9968506999972,12-May-2021 09:58:30,-14.4762997025155,2.25642209825867,14.6510987220263
49.1063951999994,-14.9968682999984,12-May-2021 09:59:30,-14.478991184826,2.25539274155081,14.6535996311114
49.1064091999902,-14.9968659999985,12-May-2021 10:00:30,-14.4802334984991,2.25709398310816,14.6550890621531
49.1064600000044,-14.9970232999933,12-May-2021 10:01:30,-14.4930982908823,2.26288002724657,14.6686919691869
49.1064483000188,-14.996979999985,12-May-2021 10:02:30,-14.4913548790693,2.2617285713946,14.6667918224058
49.1064516999856,-14.9970049999788,12-May-2021 10:03:30,-14.4945852479555,2.26225321028974,14.6700644544499
49.1064342000004,-14.9969022000004,12-May-2021 10:04:30,-14.4885088964635,2.26045795449335,14.6637839661847
49.1064194999913,-14.9968530000006,12-May-2021 10:05:30,-14.4863358322077,2.25897349603635,14.6614080871961
49.1064122999996,-14.9968833000104,12-May-2021 10:06:30,-14.4899521617895,2.25832153954585,14.6648808323465
49.1064295,-14.996902,12-May-2021 10:07:30,-14.4927237480608,2.26037798213977,14.6679361281588
49.1064517000179,-14.9970032999642,12-May-2021 10:08:30,-14.5015104752966,2.26298942668117,14.6770203791644
49.10643,-14.9970050000049,12-May-2021 10:09:30,-14.5030440821359,2.26072796727811,14.6781871697567
49.1063750000034,-14.996916699991,12-May-2021 10:10:30,-14.4980236550612,2.25477021020585,14.6723099273272
49.1063152000331,-14.99677900002,12-May-2021 10:11:30,-14.4894057970289,2.24827965606528,14.6627978831753
49.1063667000022,-14.996900199994,12-May-2021 10:12:30,-14.4996416940015,2.25414339521762,14.6738124460083
49.1064200000011,-14.9969007000015,12-May-2021 10:13:30,-14.5010879111245,2.26020693764542,14.6761740929692
49.106513299943,-14.9969800000575,12-May-2021 10:14:30,-14.5082725488982,2.27071047375081,14.6848935443439
49.1064632999948,-14.9969650000105,12-May-2021 10:15:30,-14.5085900127249,2.26530772208923,14.6843727558619
